Hotel_Name,Review_ID,Author,Date,Classification,Quote_Text
 FEBOR PARK HOTEL LEVENT, FE_P2_R21,Unknown Author,N/A,Negative,"I am a non smoker l, so imagine my surprise and terror when after a long trip I had to stay to a dirty noisy room stinking cigarette with broken porcelains in bathroom. After arguing, they put me to a clean room but without air condition and the next day they gave me finally a proper room which was clean and more to the standards of a three-star hotel despite the need of minor restoration. Nevertheless,on my last day before checkout the cleaners took my pyjamas (white T-shirt) with the bedsheets and they never returned them back. They argue that they always check before cleaning the bedsheets but this is not true: I had four clothes for my 4-day trip and now I return with two of them. I don’t know if they finally find my t-shirt but their behaviour was totally unprofessional."
 FEBOR PARK HOTEL LEVENT, FE_P2_R22,Unknown Author,N/A,Positive,Clean and staffs are more friendly
 FEBOR PARK HOTEL LEVENT, FE_P2_R23,Unknown Author,N/A,Positive,Great Location & clean room. Great connection to the airport.
 FEBOR PARK HOTEL LEVENT, FE_P2_R23,Unknown Author,N/A,Negative,"The rooms smell cigarettes terribly, and was falling apart. The hotel needs a serious renovation."
 FEBOR PARK HOTEL LEVENT, FE_P2_R24,Unknown Author,N/A,Positive,Nothing
 FEBOR PARK HOTEL LEVENT, FE_P2_R24,Unknown Author,N/A,Negative,"The most terrible place I've ever stayed.  The air conditioning did not work, there is a stadium under the windows, where there was noise until late at night.  If you open the window, there will be mosquitoes, since there are no screens on the windows.  The worst thing is synthetic bedding.  I can't recommend"
 FEBOR PARK HOTEL LEVENT, FE_P2_R25,Unknown Author,N/A,Positive,All was perfect
 FEBOR PARK HOTEL LEVENT, FE_P2_R25,Unknown Author,N/A,Negative,Hospitality
 FEBOR PARK HOTEL LEVENT, FE_P3_R1,Unknown Author,N/A,Positive,very comfortable location near metro station in 5 minutes
 FEBOR PARK HOTEL LEVENT, FE_P3_R1,Unknown Author,N/A,Negative,"the room is fully smoked! the pillow, the blanket-everything smells bad!
then the room was changed"
 FEBOR PARK HOTEL LEVENT, FE_P3_R2,Unknown Author,N/A,Positive,Probably just the price
 FEBOR PARK HOTEL LEVENT, FE_P3_R2,Unknown Author,N/A,Negative,It smelled most of the time
 FEBOR PARK HOTEL LEVENT, FE_P3_R3,Unknown Author,N/A,Positive,Location
 FEBOR PARK HOTEL LEVENT, FE_P3_R3,Unknown Author,N/A,Negative,Facilities. Shower was broken. Everything was old or rusty. Breakfast options were limited.
 FEBOR PARK HOTEL LEVENT, FE_P3_R4,Unknown Author,N/A,Positive,"Everything was fine: service, breakfast, staff."
 FEBOR PARK HOTEL LEVENT, FE_P3_R4,Unknown Author,N/A,Negative,"It is not allowed to bring food from outside and the food is very expensive in the cafe that the hotel works with.
There is a stadium where American football is played right next to the hotel. Sounds are heard until 2-3 o'clock at night."
 FEBOR PARK HOTEL LEVENT, FE_P3_R5,Unknown Author,N/A,Negative,"They cancel our booking last minute, telling that there is no room available."
 FEBOR PARK HOTEL LEVENT, FE_P3_R6,Unknown Author,N/A,Positive,Nothing
 FEBOR PARK HOTEL LEVENT, FE_P3_R6,Unknown Author,N/A,Negative,The hotel is very bad specially the staff and the breakfast
 FEBOR PARK HOTEL LEVENT, FE_P3_R7,Unknown Author,N/A,Positive,"For this price, hotel was great. Nice, clean room (a bit small, but it was perfectly ok). Good location, near meteo and bus station, so you can easily get almost everywhere. All of the stuff were really kind, friendly and helpful."
 FEBOR PARK HOTEL LEVENT, FE_P3_R7,Unknown Author,N/A,Negative,First 2 days we had omelette and menemen for breakfast. Other days there wasn’t. Breakfast could be a little better.
 FEBOR PARK HOTEL LEVENT, FE_P3_R8,Unknown Author,N/A,Positive,"Perfect room for this price, you have everything you need, there is also complimentary water, tea and coffee in your room. There is parking spot im front of the hotel, the street is tiny but there is a spot to park your car. The breakfast was good It was a buffet, it is not so varied but it is enough."
 FEBOR PARK HOTEL LEVENT, FE_P3_R8,Unknown Author,N/A,Negative,Nothing.
 FEBOR PARK HOTEL LEVENT, FE_P3_R9,Unknown Author,N/A,Positive,"Great, helpful staff and an amazing location."
 FEBOR PARK HOTEL LEVENT, FE_P3_R10,Unknown Author,N/A,Positive,Reception guys very kind and help everytime
 FEBOR PARK HOTEL LEVENT, FE_P3_R11,Unknown Author,N/A,Positive,The location is excellent fairly close to the underground metro. The venue is clean and spacious. The room was very presentable. Bed was excellent.
 FEBOR PARK HOTEL LEVENT, FE_P3_R11,Unknown Author,N/A,Negative,Nothing
 FEBOR PARK HOTEL LEVENT, FE_P3_R12,Unknown Author,N/A,Positive,"I had a good time there, the hotel was great. The staff were friendly. The breakfast was good, but every day it was the same menu."
 FEBOR PARK HOTEL LEVENT, FE_P3_R13,Unknown Author,N/A,Positive,This hotel is 2 star not 3
 FEBOR PARK HOTEL LEVENT, FE_P3_R13,Unknown Author,N/A,Negative,Becouse  breakfast  is not good
 FEBOR PARK HOTEL LEVENT, FE_P3_R14,Unknown Author,N/A,Positive,"Parking, Value, proximity to Metro"
 FEBOR PARK HOTEL LEVENT, FE_P3_R14,Unknown Author,N/A,Negative,Somewhat lack of dining & convenience store options in the immediate vicinity
 FEBOR PARK HOTEL LEVENT, FE_P3_R15,Unknown Author,N/A,Positive,The rooms are very small
