Hotel_Name,Review_ID,Author,Date,Classification,Quote_Text
 The Marmara Pera, TH_P1_R3,Unknown Author,N/A,Positive,"The location ist just great and the view from the rooms at the upper floors is amazing. To the city as well as to Bosporus river. 90 % of the team is very friendly and helpful, especially at the reception and room service. Towel change every day, bathroom amenities, fresh water (2 bottles per day) and some sweets at the first day. The beds are comfortable and there‘s a chance to open the windows. The breakfast buffet is also great and you get everything you want."
 The Marmara Pera, TH_P1_R3,Unknown Author,N/A,Negative,The rooms are not the newest anymore and could need a little renovation (but everything is super clean). The staff at the breakfast is a little stressed and not really very friendly.
 The Marmara Pera, TH_P1_R4,Unknown Author,N/A,Positive,The location and the room view
 The Marmara Pera, TH_P1_R4,Unknown Author,N/A,Negative,All perfect
 The Marmara Pera, TH_P1_R5,Unknown Author,N/A,Positive,"Good location, very clean, comfortable bed, friendly staff"
 The Marmara Pera, TH_P1_R6,Unknown Author,N/A,Positive,Good location good room size clean room good breakfast but small lobby small bathroom small closet
 The Marmara Pera, TH_P1_R7,Unknown Author,N/A,Positive,The location is amazing and very central. But the rooms are a bit small.
 The Marmara Pera, TH_P1_R8,Unknown Author,N/A,Positive,"Location
Clean and comfortable 
Excellent breakfast
Nice view from the 14th floor"
 The Marmara Pera, TH_P1_R8,Unknown Author,N/A,Negative,"At around 1 am the first night there was a sound of something being fixed somewhere in the next room, that sound woke me up. It was heard 4 times.
Housekeeper of the 14th floor was knocking on doors at 8 am to clean the rooms!! And when we told him that we’re still sleeping he started talking and nagging as if we were making him late."
 The Marmara Pera, TH_P1_R9,Unknown Author,N/A,Positive,"Every thing actually, the location is great very near to isteklal street and metro station, you can walk to Galata tower, Taksim square and even to eminono 
The room was really comfort quiet, the view was nice, the staff was helpful and kind , the breakfast was nice 
Highly recommended"
 The Marmara Pera, TH_P1_R9,Unknown Author,N/A,Negative,"Just for improvement 
The bread in the breakfast and simit need to be more fresh 🙂🙂"
 The Marmara Pera, TH_P1_R10,Unknown Author,N/A,Positive,View is amazing
 The Marmara Pera, TH_P1_R10,Unknown Author,N/A,Negative,Food and drinks are crazy expensive
 The Marmara Pera, TH_P1_R11,Unknown Author,N/A,Positive,Location is really good. The service room was fast and  good as well. The view from the yet terrace is beautiful.
 The Marmara Pera, TH_P1_R11,Unknown Author,N/A,Negative,"Our first room was outdated, the bathroom was in poor condition, and it was very noisy. On Sunday morning around 8:00 am, after a long trip and arriving in the middle of the night, the cleaning staff (Leidy) opened our room without knocking. Shortly after, she had a very loud phone conversation in the hallway, and I had to go out and ask her to lower her voice.
The next morning, we were ready to leave the hotel, but they offered us a room on the Pera Special Floor. Unfortunately, we were not lucky again. The room was acceptable, but on Monday morning the restaurant upstairs began its early cleaning. The constant dragging of chairs and moving of furniture made it impossible to rest — it was a nightmare."
 The Marmara Pera, TH_P1_R12,Unknown Author,N/A,Positive,"The view from the suite was stunning. 
The location is very good, many nice restaurants around. And Taksim shopping and bars are just around the corner."
 The Marmara Pera, TH_P1_R12,Unknown Author,N/A,Negative,"The breakfast can be more various. 
Most of the staff hardly smile, only 1 bellboy were very nice. 
Really small details need some attention such as lights, there are  not enough lightning in the room.
Not ideal for those who need to work in the room.
No toilet brush, need more cleaning details (marmalade on tv table), no hanger to put used towels. 
The music from the rooftop were so loud, we can hear it from our room which was hard for the little one to go to sleep."
 The Marmara Pera, TH_P1_R13,Unknown Author,N/A,Positive,"Staff is very friendly. Special thanks to
Atila who made our room always very clean.
The rooftop has stunning views!
We enjoyed the nice Jazz concert at Pera 77, highly recommend you to see it"
 The Marmara Pera, TH_P1_R13,Unknown Author,N/A,Negative,"Water pressure a bit low 
Curtain does not cover enough the sun"
 The Marmara Pera, TH_P1_R14,Unknown Author,N/A,Positive,Location and good breakfast
 The Marmara Pera, TH_P1_R14,Unknown Author,N/A,Negative,Location and helpful friendly staffs. Special mention to Hubra of reception for accommodating us early.
 The Marmara Pera, TH_P1_R15,Unknown Author,N/A,Positive,The pool and the view
 The Marmara Pera, TH_P1_R15,Unknown Author,N/A,Negative,Bathroom and shower both too small in size
 The Marmara Pera, TH_P1_R16,Unknown Author,N/A,Positive,Great location and clean and reliable
 The Marmara Pera, TH_P1_R16,Unknown Author,N/A,Negative,Our room window (not much of a view) was super dirty from the outside.
 The Marmara Pera, TH_P1_R17,Unknown Author,N/A,Positive,The view is exceptional! The location fantastic! Our room was very comfortable and clean and quiet. The night roof top bar is amazing but not operated by the hotel. During the day the hotel operate a small pool bar with very limited options for a snack.
 The Marmara Pera, TH_P1_R18,Unknown Author,N/A,Positive,Location and staff
 The Marmara Pera, TH_P1_R19,Unknown Author,N/A,Positive,Location and staff
 The Marmara Pera, TH_P1_R19,Unknown Author,N/A,Negative,Noise at night
 The Marmara Pera, TH_P1_R20,Unknown Author,N/A,Positive,"I like the location very much and each time I come to Istanbul I stay in this hotel. The rooms view to the city and the sea both are amazing.
Very enjoyable breakfast is available."
 The Marmara Pera, TH_P1_R20,Unknown Author,N/A,Negative,"The only issue I had this time that there is a person in the reception who is not as friendly and supportive as a receptionist should be in a tourist city. I think his name is Yasin. 
I asked him to help me for a location I had to see a bank with a baby in my arm and he let me know that if I take a taxi from him, he knows the address otherwise NO IDEA ABOUT THE LOCATION. 
Anyway I managed it by myself through internet but it was a very disgusting behavior just for a few Lira more."
 The Marmara Pera, TH_P1_R21,Unknown Author,N/A,Positive,Excellent location. Great views from the room (15th floor). Excellent breakfast.
 The Marmara Pera, TH_P1_R21,Unknown Author,N/A,Negative,Slight stench from the sewer in the bathroom.
 The Marmara Pera, TH_P1_R22,Unknown Author,N/A,Positive,Behavior
 The Marmara Pera, TH_P1_R23,Unknown Author,N/A,Positive,Location. The lobby staff always very helpful and pleasant.
 The Marmara Pera, TH_P1_R23,Unknown Author,N/A,Negative,No complaints of hotel. Be aware IST taxi does not shortchange you. Suggest paying by credit card despite surcharge.
 The Marmara Pera, TH_P1_R24,Unknown Author,N/A,Positive,Location
 The Marmara Pera, TH_P2_R1,Unknown Author,N/A,Positive,"Great location, close to public transportation, restaurants, bars and shopping. There is a great rooftop bar with amazing views of the city."
 The Marmara Pera, TH_P2_R2,Unknown Author,N/A,Positive,"Convenient location, good facilities and amenities. The most important is the people who are work at this hotel, friendly , helpful,  kind and always willing to make your stay easy and comfortable. Especially, receptionist Mochamet"
 The Marmara Pera, TH_P2_R3,Unknown Author,N/A,Positive,"Everything good, perfect location, clean hotel, easy to find"
 The Marmara Pera, TH_P2_R3,Unknown Author,N/A,Negative,Noise at night from the street & night clubs
 The Marmara Pera, TH_P2_R4,Unknown Author,N/A,Positive,Kind
 The Marmara Pera, TH_P2_R5,Unknown Author,N/A,Positive,"The staff is great, specially at the reception and the restaurant. The breakfast was excellent and the view from the room was superb! Sincere thanks!"
 The Marmara Pera, TH_P2_R5,Unknown Author,N/A,Negative,NA
 The Marmara Pera, TH_P2_R6,Unknown Author,N/A,Positive,"Very well located, great views, pool on the roof. Breakfast very good."
 The Marmara Pera, TH_P2_R6,Unknown Author,N/A,Negative,Rooms are a bit small. And little dated
 The Marmara Pera, TH_P2_R7,Unknown Author,N/A,Positive,"I had a wonderful stay at The Marmara Pera Hotel! The location is fantastic—perfect for exploring Istanbul. The hotel is clean, the breakfast is delicious, and the staff is exceptional. Special thanks to Ms. Fikriya and Irem for their excellent service and warm hospitality. Everything was great, and I highly recommend this hotel!"
 The Marmara Pera, TH_P2_R8,Unknown Author,N/A,Positive,Great place and comfortable
 The Marmara Pera, TH_P2_R8,Unknown Author,N/A,Negative,Loud music outside every night but I don’t think from the hotel
 The Marmara Pera, TH_P2_R9,Unknown Author,N/A,Positive,Great location and view from the room. Staff was very helpful.
 The Marmara Pera, TH_P2_R10,Unknown Author,N/A,Positive,Location near to iskrilal street.
 The Marmara Pera, TH_P2_R10,Unknown Author,N/A,Negative,Rooms really small as per price.
 The Marmara Pera, TH_P2_R11,Unknown Author,N/A,Positive,Location and cleanliness
 The Marmara Pera, TH_P2_R12,Unknown Author,N/A,Positive,Location
 The Marmara Pera, TH_P2_R12,Unknown Author,N/A,Negative,Accommodating my request for non smoking room in higher floors
 The Marmara Pera, TH_P2_R13,Unknown Author,N/A,Positive,"Great location and walking distance to some of the main areas, the breakfast buffet was delicious, the room was clean and comfortable"
 The Marmara Pera, TH_P2_R13,Unknown Author,N/A,Negative,The pool closed early (5:30pm) we were looking forward to going into the pool after a long day of sightseeing in the heat. The pool was also a lot smaller than I had expected.
 The Marmara Pera, TH_P2_R14,Unknown Author,N/A,Positive,"The staff were pleasant on the most part. We were in a room on 16th floor and the view was amazing as there was a huge window for a view of the city. The room was spacious enough and had the basic facilities we needed. Rooftop bar was nice, but was small and quite busy."
